,x,y,bed
384,-1528000.0,-249500.0,-625.8294067382812
385,-1527500.0,-249500.0,-624.2371215820312
386,-1527000.0,-249500.0,-621.1749877929688
387,-1526500.0,-249500.0,-618.1958618164062
388,-1526000.0,-249500.0,-615.6326904296875
389,-1525500.0,-249500.0,-613.2105102539062
390,-1525000.0,-249500.0,-617.200439453125
391,-1524500.0,-249500.0,-631.126220703125
392,-1524000.0,-249500.0,-646.7994384765625
393,-1523500.0,-249500.0,-660.3173217773438
394,-1523000.0,-249500.0,-675.0814819335938
395,-1522500.0,-249500.0,-691.7211303710938
396,-1522000.0,-249500.0,-708.0050048828125
397,-1521500.0,-249500.0,-720.23291015625
398,-1521000.0,-249500.0,-725.500244140625
401,-1619500.0,-249000.0,-118.82940673828124
402,-1619000.0,-249000.0,-69.78436279296875
403,-1618500.0,-249000.0,-58.07720947265625
404,-1618000.0,-249000.0,-68.72756958007812
405,-1617500.0,-249000.0,-90.35699462890624
406,-1617000.0,-249000.0,-105.91363525390624
407,-1616500.0,-249000.0,-119.47552490234376
408,-1616000.0,-249000.0,-145.31637573242188
409,-1615500.0,-249000.0,-172.89334106445312
410,-1615000.0,-249000.0,-195.64328002929688
411,-1614500.0,-249000.0,-203.45065307617188
412,-1614000.0,-249000.0,-206.232666015625
413,-1613500.0,-249000.0,-211.9219970703125
414,-1613000.0,-249000.0,-221.95770263671875
415,-1612500.0,-249000.0,-240.4559631347656
416,-1612000.0,-249000.0,-265.39910888671875
417,-1611500.0,-249000.0,-291.7647399902344
418,-1611000.0,-249000.0,-330.3204345703125
419,-1610500.0,-249000.0,-365.4736022949219
420,-1610000.0,-249000.0,-402.6339721679688
421,-1609500.0,-249000.0,-450.7311401367188
422,-1609000.0,-249000.0,-503.2501983642578
423,-1608500.0,-249000.0,-539.3383483886719
424,-1608000.0,-249000.0,-561.5987701416016
425,-1607500.0,-249000.0,-589.3069152832031
426,-1607000.0,-249000.0,-617.1365814208984
427,-1606500.0,-249000.0,-651.2149047851562
428,-1606000.0,-249000.0,-678.2185974121094
429,-1605500.0,-249000.0,-712.4938049316406
430,-1605000.0,-249000.0,-754.4740142822266
431,-1604500.0,-249000.0,-789.6537017822266
432,-1604000.0,-249000.0,-819.6129608154297
433,-1603500.0,-249000.0,-839.1985473632812
434,-1603000.0,-249000.0,-864.3163299560547
435,-1602500.0,-249000.0,-905.1738128662108
436,-1602000.0,-249000.0,-968.5430603027344
437,-1601500.0,-249000.0,-1015.1368408203124
