,x,y,bedrock_altitude (m)
374,-1532999.8,-249499.72,-932.7697698417753
375,-1532499.8,-249499.72,-775.837547039119
376,-1531999.8,-249499.72,-761.0285581091441
377,-1531499.8,-249499.72,-795.4375009254837
378,-1530999.8,-249499.72,-854.520027633001
379,-1530499.8,-249499.72,-892.6200309062727
380,-1529999.8,-249499.72,-913.7820948093614
381,-1529499.8,-249499.72,-907.1607998552603
382,-1528999.8,-249499.72,-874.197622180141
383,-1528499.8,-249499.72,-852.4609155000392
384,-1527999.8,-249499.72,-916.961090138214
385,-1527499.8,-249499.72,-901.5899259823418
386,-1526999.8,-249499.72,-825.007647372572
387,-1526499.8,-249499.72,-720.1443319775505
388,-1525999.8,-249499.72,-731.7974096876352
389,-1525499.8,-249499.72,-849.6670275931654
390,-1524999.8,-249499.72,-805.2131898080668
391,-1524499.8,-249499.72,-891.469682632755
392,-1523999.8,-249499.72,-872.9006697191967
393,-1523499.8,-249499.72,-916.4595735442493
394,-1522999.8,-249499.72,-691.2878045381698
395,-1522499.8,-249499.72,-642.538568066957
396,-1521999.8,-249499.72,-668.3103928590972
397,-1521499.8,-249499.72,-616.8437781974526
398,-1520999.8,-249499.72,-697.3590331158845
399,-1520499.8,-249499.72,-632.5105954363936
400,-1619999.8,-248999.72,-145.14229012491364
401,-1619499.8,-248999.72,-348.98456012429403
402,-1618999.8,-248999.72,-263.4582173852622
403,-1618499.8,-248999.72,-153.83163232283303
404,-1617999.8,-248999.72,-328.861117793153
405,-1617499.8,-248999.72,-280.5407894099345
406,-1616999.8,-248999.72,-437.341079429974
407,-1616499.8,-248999.72,-409.0133937296926
408,-1615999.8,-248999.72,-572.5088964166206
409,-1615499.8,-248999.72,-451.5051381904479
410,-1614999.8,-248999.72,-492.71666222359477
411,-1614499.8,-248999.72,-131.42889798553986
412,-1613999.8,-248999.72,-335.03984115235403
413,-1613499.8,-248999.72,-371.5792049701975
414,-1612999.8,-248999.72,-302.0751781383691
415,-1612499.8,-248999.72,-401.76373992101395
416,-1611999.8,-248999.72,-414.0987953195531
417,-1611499.8,-248999.72,-246.5000380561504
418,-1610999.8,-248999.72,-155.2327547352121
419,-1610499.8,-248999.72,-302.9070137563761
420,-1609999.8,-248999.72,-351.06538719792576
421,-1609499.8,-248999.72,-431.27004772744965
422,-1608999.8,-248999.72,-328.250271439093
423,-1608499.8,-248999.72,-418.69666118787376
424,-1607999.8,-248999.72,-357.2378733773063
425,-1607499.8,-248999.72,-393.04868134196295
426,-1606999.8,-248999.72,-478.35087345047396
427,-1606499.8,-248999.72,-276.30471757373175
428,-1605999.8,-248999.72,-327.79564557108324
429,-1605499.8,-248999.72,-259.5748713082591
430,-1604999.8,-248999.72,-241.01169346208246
431,-1604499.8,-248999.72,-230.1144526364588
432,-1603999.8,-248999.72,-225.32736161242448
433,-1603499.8,-248999.72,-261.10850385626014
434,-1602999.8,-248999.72,-339.7796306283245
435,-1602499.8,-248999.72,-309.8159650225964
436,-1601999.8,-248999.72,-219.9134903189853
437,-1601499.8,-248999.72,-103.90173263153292
438,-1600999.8,-248999.72,-278.8499952086998
439,-1600499.8,-248999.72,-309.05633490382695
440,-1599999.8,-248999.72,-382.2250971617967
441,-1599499.8,-248999.72,-386.99227654338233
442,-1598999.8,-248999.72,-385.22652807726354
443,-1598499.8,-248999.72,-448.20770798449433
444,-1597999.8,-248999.72,-511.71996704013145
445,-1597499.8,-248999.72,-526.0122379289161
446,-1596999.8,-248999.72,-590.5174886742716
447,-1596499.8,-248999.72,-714.115609716132
448,-1595999.8,-248999.72,-750.4494311586496
449,-1595499.8,-248999.72,-930.6369148399888
450,-1594999.8,-248999.72,-704.9724244728717
451,-1594499.8,-248999.72,-702.8805667616601
