X,Y,Sum,Count,Bed,simulated,cluster,Norm_Bed
-300000.0,-1799000.0,0.0,0.0,,1.0,0.0,-0.8920350461217836
-299000.0,-1799000.0,30548.57,93.0,328.47925,0.0,0.0,0.11532381922006607
-298000.0,-1799000.0,34504.76,102.0,338.28195,0.0,0.0,0.17233146727085114
-297000.0,-1799000.0,0.0,0.0,,1.0,0.0,0.3492309167614303
-296000.0,-1799000.0,0.0,0.0,,1.0,0.0,0.9617129421959968
-295000.0,-1799000.0,0.0,0.0,,1.0,0.0,-1.0400370200232074
-294000.0,-1799000.0,0.0,0.0,,1.0,0.0,-1.2423962696453665
-293000.0,-1799000.0,10608.86,65.0,163.21323,0.0,0.0,-0.7048913240432739
-292000.0,-1799000.0,0.0,0.0,,1.0,0.0,-0.037854488628860594
-291000.0,-1799000.0,19831.49,68.0,291.63956,0.0,0.0,-0.09911385923624039
-290000.0,-1799000.0,2837.75,14.0,202.69643,0.0,0.0,-0.5593019723892212
-289000.0,-1799000.0,0.0,0.0,,1.0,0.0,-0.9450853464431141
-288000.0,-1799000.0,89497.53,322.0,277.94263,0.0,0.0,-0.184256449341774
-287000.0,-1799000.0,0.0,0.0,,1.0,0.0,-1.0952842526600461
-286000.0,-1799000.0,0.0,0.0,,1.0,0.0,-1.8373896679868365
-285000.0,-1799000.0,0.0,0.0,,1.0,0.0,-0.21076149728540822
-284000.0,-1799000.0,0.0,0.0,,1.0,0.0,0.2666252908693555
-283000.0,-1799000.0,0.0,0.0,,1.0,0.0,-0.1742118022448815
-282000.0,-1799000.0,0.0,0.0,,1.0,0.0,1.0255348299456906
-281000.0,-1799000.0,0.0,0.0,,1.0,0.0,-0.7519255637944292
-280000.0,-1799000.0,0.0,0.0,,1.0,0.0,-0.5991777220623935
-279000.0,-1799000.0,0.0,0.0,,1.0,3.0,-1.141016981751267
-278000.0,-1799000.0,0.0,0.0,,1.0,0.0,-1.8453556366137078
-277000.0,-1799000.0,0.0,0.0,,1.0,0.0,0.5502097029995516
-276000.0,-1799000.0,0.0,0.0,,1.0,3.0,1.020763205832976
-275000.0,-1799000.0,0.0,0.0,,1.0,0.0,-0.4413914863818153
